Stage,N1,N2,N3,R,W
W,0.004735989972689645,0.001453131537560895,0.0002848290697374663,0.002193269349997269,0.9913327800700148
W,0.001202841409386851,0.0008837841537158487,6.78272265367502e-06,0.0003130370856712839,0.9975935546285724
W,0.13433055860022733,0.0037807108869959243,3.296925597882758e-05,0.0030098869381246507,0.8588458743186732
W,0.015583133015280515,0.006455296435406115,3.3097327070082753e-05,0.4499077496844904,0.5280207235377529
W,0.0483134176108537,0.009087272806105376,4.3362851635917504e-05,0.0031545926823552837,0.9394013540490497
W,0.005517404152813262,0.0006928403566610618,6.294048482020518e-06,0.0006430758483846885,0.9931403855936589
W,9.145768076521655e-05,0.0013447832547985477,6.104041386495206e-06,0.00040517857883725473,0.9981524764442125
W,5.081100095510805e-05,0.00019223889010952183,1.636001486142834e-05,0.0004934135710144908,0.9992471765230596
W,0.00017015605753108426,0.002482443071116259,0.00014559522375116185,0.003365827494397857,0.9938359781532037
W,0.003716222793815808,0.006373895731114829,0.00038105334304576005,0.0009812026599889832,0.9885476254720347
W,8.070679139125806e-05,0.015563551934376415,0.00044991225698007254,0.0006457281133924178,0.9832601009038598
W,0.0017969254768337832,0.0022115375068492036,0.0005018613529565166,0.006214458986459666,0.9892752166769009
W,0.030641051092477854,0.03911478616879444,0.058657521342053986,0.0907031026810518,0.7808835387156219
W,0.15054728395076702,0.06258651275559889,0.2205902429745551,0.02498343016186276,0.5412925301572162
W,0.03138793154620228,0.05615621836430775,0.11341953484593696,0.07797583295939467,0.7210604822841584
W,0.04715601654478949,0.10498981107507106,0.09196726214815062,0.08134432709193765,0.6745425831400512
W,0.00194739293492815,0.015252910577115494,0.24066701209616104,0.004567239732468921,0.7375654446593264
W,0.045180829731588525,0.37704309517623547,0.026440534298368155,0.001219206185798211,0.5501163346080097
W,0.04723574104391827,0.26179271900984696,0.172167901155478,0.0031179540215783997,0.5156856847691784
N3,0.019333647462450712,0.3285761444456814,0.42420290460493365,0.000924231280327812,0.22696307220660636
N2,0.0262239923085176,0.6376933721828131,0.0979750840739958,0.0014689140806993057,0.2366386373539742
N2,0.027574754820988652,0.7190484906793831,0.03169434092659721,0.001228373335910116,0.22045404023712098
N2,0.03038345617448783,0.6963835226169931,0.16200783079610406,0.002747612156650864,0.10847757825576415
N2,0.005103944007478953,0.8377673866413226,0.1266878804054125,0.0008792794899974522,0.029561509455788476
N2,0.020326338382492884,0.6783114493321991,0.14725656770191195,0.0035226734416426695,0.1505829711417532
W,0.016020876046708276,0.4010859161184558,0.029810051073611947,0.008547683016684402,0.5445354737445396
N2,0.0168140351272745,0.7963946494488771,0.0982278603388015,0.003702236881785588,0.08486121820326148
