Stage,N1,N2,N3,R,W
W,0.0006496483902755045,0.00013612049837826435,1.1863580426384544e-05,0.0007469954786777454,0.9984553720522421
W,0.007954050615954136,0.00568604317141335,0.001265641853787768,0.06830295760452956,0.9167913067543151
W,9.929547955546476e-08,4.4116658026945614e-08,3.0328204613005795e-08,3.210170298778041e-07,0.9999995052426279
W,0.026894828151469104,0.007103445354647636,0.002765712314683102,0.4543990839346993,0.5088369302445008
W,0.007545396934385849,0.011505401413951025,0.01694201734996581,0.0051707385129279295,0.9588364457887693
W,0.0006088020727018734,0.018432691463586483,0.011725614660530952,0.007489329539356049,0.9617435622638246
W,0.024053318013253677,0.20569023281625434,0.04819005006061587,0.0017113050925981574,0.7203550940172779
W,0.11165331451436748,0.2595338618547652,0.05809516171752127,0.0038595653550567836,0.5668580965582892
N2,0.0339586788224367,0.5068929498883491,0.2998931008685332,0.0014690006488283596,0.15778626977185267
N2,0.014372029794933155,0.6341083590719797,0.16131521300181348,0.001236837534671414,0.18896756059660225
N2,0.019649221482865582,0.46297828467514907,0.26390366997619175,0.0011123166134070768,0.2523565072523865
N2,0.026769672039770598,0.5130319167724149,0.04779081890476452,0.00410094928505364,0.40830664299799646
N2,0.01131792973227147,0.49574871897340206,0.07853830927829256,0.0019817895104884296,0.41241325250554545
N2,0.02975857471818474,0.7497154932272464,0.02383732201149839,0.004753475252618937,0.19193513479045146
N2,0.048706734294384824,0.6349471018161109,0.19822874855949263,0.0038667972489395295,0.11425061808107204
N3,0.003623499760164095,0.043421941530312536,0.6875857713328638,0.010472663328684184,0.25489612404797557
W,0.0668020892041486,0.3739018699340693,0.08905333864019803,0.0008004414045190559,0.46944226081706514
N3,0.009376154644509622,0.21462989974302862,0.6044732532924866,0.0005549246723531961,0.170965767647622
N3,0.0018530933563244128,0.14930532436621613,0.8265481703173807,0.00035271606842163656,0.021940695891657078
N2,0.011030232331545362,0.5896690961169633,0.25483598794144025,0.0005083915321511356,0.1439562920779
N3,0.00233935862236957,0.31159833292033273,0.6336903823811177,0.00015102472368892105,0.05222090135249097
N2,0.006464517414068892,0.5073602920624055,0.41181287682962137,0.0007430689024257548,0.07361924479147859
N2,0.0037468399270281305,0.7251498311603976,0.23442708683449318,0.0002366287303707004,0.036439613347710384
N2,0.004210778109577909,0.8028119165458398,0.17250082356976343,0.00021109093793176276,0.020265390836887186
N3,0.0022373685059444356,0.3512428195508773,0.4955047443780226,6.463922213153992e-05,0.1509504283430241
N2,0.012090758813187387,0.7339321684851882,0.149140432464373,0.00026082897547605427,0.10457581126177552
N3,0.00517712373786615,0.43520978023331564,0.5049866487225494,0.000910349972090707,0.053716097334177954
