Stage,N1,N2,N3,R,W
W,0.008757736611729731,0.005720530160746169,0.0009431498521972481,0.003893705060040401,0.9806848783152865
R,0.013205847094071963,0.03227138132204884,0.001316843769006374,0.6633035792315812,0.2899023485832915
W,0.00978072989713458,0.029360217404069657,0.0006631295971647902,0.04338752665978686,0.9168083964418441
W,0.02771837405167036,0.032100439218949714,0.010864230577584448,0.005972227154997206,0.9233447289967982
W,0.029337851160317858,0.07466211809019903,0.011868172537473978,0.00020022971375004798,0.883931628498259
W,0.0028401312165123793,0.030091891623143203,0.003795416555929411,0.0005607952374089561,0.9627117653670061
W,0.019751035949010228,0.004105141917453636,0.0025994654113259477,0.0014309740052678031,0.9721133827169425
W,0.004065032397647228,0.002511329465781585,0.0015255479191774307,0.15413980428664673,0.837758285930747
W,0.056540279898695735,0.10804055891847271,0.0038901002505988816,0.0017967439613874858,0.829732316970845
W,0.03848761601388452,0.06905070913969213,0.01742548587524274,0.0005429093033403031,0.8744932796678402
W,0.0299150827938557,0.13829577735384097,0.00961761231166355,0.0027323961646958344,0.8194391313759439
W,0.02547274137426074,0.11650640574668143,0.03542710210341022,0.003965794837291877,0.8186279559383557
N2,0.06960156014420894,0.5031297185270668,0.12442353771225338,0.007734114390458702,0.2951110692260122
W,0.0864328057765185,0.4319840738301917,0.014717247146077085,0.012929722185109823,0.4539361510621028
W,0.05317645491074329,0.19693724953566058,0.041951841139191606,0.02755592607539483,0.6803785283390097
W,0.03530801252059892,0.08160719562701446,0.015266073166266162,0.013590892219818785,0.8542278264663017
W,0.05112349932210182,0.1736192754927808,0.005789543383686774,0.005351419422000004,0.7641162623794305
W,0.003535966399114319,0.02614680576703598,0.0013377850046155557,0.0003931038825127531,0.9685863389467214
W,0.004024446526561958,0.013149876190921336,0.0010503102400738035,0.00028429693333658414,0.9814910701091062
W,0.011749891300424562,0.04581828381809311,0.004149863263770304,0.0032708383993982014,0.9350111232183138
W,0.005152458192155369,0.026077105742265808,0.0013653998838594815,0.0009202166631329696,0.9664848195185864
N2,0.07184661826639475,0.6749177289472988,0.023830838662312184,0.007531395621249065,0.2218734185027452
N1,0.44063183980723925,0.12454453077330051,0.006350694061309565,0.047486291226147496,0.38098664413200317
N2,0.11881880940035999,0.4618198308523149,0.005198358536923913,0.05475925615522808,0.35940374505517303
N2,0.1571637327776599,0.49276924586113524,0.013781333326818666,0.0735310587769038,0.2627546292574823
N2,0.052780201344639566,0.5567714767624172,0.007102528963690552,0.06836887589096796,0.3149769170382847
W,0.04316253964454242,0.22309886026423173,0.007894963989423883,0.05100284164316042,0.6748407944586416
N2,0.030151984191919775,0.6061498901849526,0.01144615283953578,0.04005889135372185,0.31219308142986985
W,0.03708799215864332,0.21519745078778035,0.012356036463252396,0.05391688788652829,0.6814416327037957
W,0.056573988266959016,0.19633645599772076,0.016132857678210846,0.08981205518076756,0.6411446428763419
W,0.1788904036693173,0.3147628123841191,0.04948282127248642,0.11507857542317912,0.3417853872508981
N2,0.1474901278918786,0.6950571383546157,0.03434212341483398,0.05252066950828725,0.07058994083038456
N2,0.3964186543015284,0.4192321342439994,0.011170335437435298,0.13235575211101475,0.04082312390602217
N1,0.47649626775485,0.2900031817599673,0.02205319104912733,0.1491033825914221,0.06234397684463336
W,0.051596680856818566,0.31544469774772405,0.1412218840128544,0.06716904832639124,0.42456768905621156
N2,0.12916170268791677,0.7696953458810923,0.03436824952218767,0.038862376598033585,0.027912325310769693
N2,0.41462732423055526,0.4701321482290235,0.03115441997361066,0.06708004397065133,0.017006063596159193
N2,0.13430265184713366,0.7963296467890624,0.034619203883636526,0.017618503783817723,0.01712999369634961
N2,0.03106195764238212,0.8573879012777116,0.06983154784885628,0.027714663693340736,0.014003929537709198
N2,0.02108081851093836,0.8757099335560917,0.07458766504011463,0.00745853987417933,0.021163043018675807
N2,0.07352473989460172,0.8223189011494236,0.0657389395507734,0.01391451730163393,0.024502902103567224
N3,0.028562599330467512,0.16618421213600623,0.41032670614592576,0.01045694783712589,0.38446953455047456
N2,0.045126628178906496,0.8307052805956332,0.10911754284649328,0.002395198451952994,0.012655349927013962
N2,0.0543257766564385,0.8406283824175018,0.08699699018857207,0.0022699502366977454,0.015778900500789814
N2,0.06854721691735297,0.8673145481296342,0.031602619735755635,0.003903442909221716,0.028632172308035518
N2,0.0593107388129896,0.8711882686704508,0.04238064379635359,0.0066347887358009765,0.020485559984404877
N2,0.03058041012570628,0.8819377388377426,0.07375355563214292,0.007125074133518369,0.006603221270889977
N2,0.29468830379331673,0.6379938955400963,0.03331134051424242,0.01727138723659347,0.016735072915751215
N2,0.18609615870663068,0.7343944404648479,0.04295380956633524,0.027331624329962268,0.009223966932224109
N2,0.15541248501972524,0.7294156385431224,0.08818993237493238,0.01670810259404516,0.010273841468174748
N2,0.042236820129966234,0.8033172340350543,0.11915861074887603,0.01160362039877166,0.023683714687331787
N2,0.02914605490501725,0.8212214851367958,0.1283288049780118,0.006779610261163895,0.014524044719011274
N2,0.008268381096351807,0.5978250382468571,0.377692798100406,0.0076022603703634235,0.00861152218602166
N2,0.016544707524496653,0.651452401971545,0.31885336664803815,0.0041854938641751206,0.008964029991745032
N2,0.011363254389805079,0.6975119165766213,0.27730068316931816,0.003813345290955584,0.010010800573299814
N2,0.01686876591147772,0.7349087154416446,0.08911650645838771,0.005391795714720115,0.1537142164737699
N2,0.04155251837227601,0.8910203610283368,0.03887098446225491,0.015860037373617016,0.012696098763515093
N2,0.13402491492980828,0.6105425058188944,0.10533946723726464,0.035244136493566836,0.1148489755204659
N2,0.014284202336338434,0.6498020209151962,0.31825406852800137,0.011462563572381486,0.006197144648082517
N2,0.021839073933557787,0.554087880867212,0.3806148680680663,0.02311712797856793,0.02034104915259582
N2,0.03698168609181464,0.6377776871072333,0.29097906099597654,0.015290953715191595,0.018970612089783904
N2,0.004957328132855931,0.8284354524119595,0.15392000129546365,0.0022181254788701454,0.010469092680850757
N2,0.0030855095875858495,0.6012630318089986,0.37592440017729434,0.002768199228483772,0.016958859197637503
N2,0.0038090262443849616,0.4311931868134811,0.42284343826074783,0.003524476128084596,0.13862987255330142
N2,0.005320644029120089,0.7666666967533263,0.21094518719015007,0.007246034309630649,0.00982143771777291
N3,0.0019914475635026204,0.356495499800377,0.5025770450090317,0.007531666427728724,0.13140434119936
N2,0.006487701242594501,0.5020620751896645,0.2716119077933215,0.007718205939428995,0.2121201098349905
N3,0.0022839766169653456,0.4231327988459332,0.4769480278418649,0.00655499454747576,0.09108020214776094
N2,0.0030993931100983404,0.527645750177846,0.2116558997778755,0.011559707346113723,0.24603924958806658
N3,0.0017040628865058489,0.2259651495778491,0.660620190845296,0.005146194598413554,0.10656440209193552
N3,0.001033990607744097,0.20234445098910586,0.6798015110340822,0.0034694804769678433,0.11335056689210005
N3,0.0016364609824165758,0.38490650632713413,0.6061486944740867,0.0036143535081663643,0.0036939847081961046
N3,0.0005943776007934532,0.15411931830794096,0.8376415718057978,0.0010217365213092179,0.006622995764158754
N3,0.0015579921390382345,0.21421897829064393,0.773270324695551,0.0019556443573146435,0.008997060517452183
N3,0.0010084901027480962,0.20435561066980854,0.7813514729200357,0.002027778015223499,0.011256648292184276
N3,0.001084486950444933,0.17176823866753102,0.8209650544079693,0.00044162661184976863,0.005740593362205048
N3,0.000524326524075674,0.12300476888502579,0.871908207587723,0.00023274390411633686,0.0043299530990590805
N3,0.0022665191256761364,0.3228883028466065,0.6459235786790495,0.0009874449865718293,0.027934154362096113
N3,0.0012720449918258937,0.14668513190048293,0.8439176337744337,0.00044118667966704626,0.0076840026535901825
N3,0.0007666617101752502,0.12114130975220361,0.8722761213967325,0.00036688295938822475,0.005449024181500611
N3,0.00047296148092078555,0.07489678814380525,0.9208771571826881,0.00023134842449224865,0.003521744768093487
N3,0.000323081737495503,0.062272257977282516,0.9342836256984485,0.00012822443006375164,0.0029928101567096325
N3,0.00029742941398910714,0.08024874421512608,0.9164859706479378,0.00011860919970980707,0.002849246523237318
N3,0.000611201230024958,0.11041385734183617,0.8841954143197545,0.0002444659420519328,0.004535061166332343
N3,0.0005712379780625741,0.08861230745297183,0.9080868490749977,0.00014015326445170157,0.002589452229516159
N3,0.0015355710063221176,0.1385478646998578,0.852691335165759,0.0006621310728535055,0.00656309805520763
N3,0.0003080110050540694,0.05701205069521147,0.9410930820768127,0.0001275494985649355,0.0014593067243566904
N3,0.00021374702931331612,0.05771721717525667,0.9406107926619377,0.0001126603854098601,0.0013455827480826892
N3,0.00022506745173657032,0.047397000706150536,0.9489646974473946,0.00153609598777412,0.0018771384069440613
N3,0.00013436236567974995,0.03910496725329572,0.9587726621223744,0.0008115235604777045,0.0011764846981723689
N3,0.0003539606454725144,0.06568349759922952,0.9263619452016741,0.004076495739183501,0.0035241008144403533
N3,0.00028468211075212646,0.04235301521263783,0.9530902970478043,0.0023186388944322826,0.00195336673437355
N3,0.00021273465704875117,0.04743860321431145,0.9504723500894008,0.00011100060778412017,0.0017653114314548832
N3,0.00014743950655877287,0.03824359859335546,0.9600345981269288,6.30127816143209e-05,0.001511350991542692
N3,0.00027853307064792525,0.04916470016068863,0.9485855199143043,6.990180869429182e-05,0.0019013450456649252
N3,0.0005497163465922456,0.09010602814867193,0.9059667349992127,0.00018100824748206473,0.003196512258041102
N3,0.00027218297251788815,0.04684012699838685,0.9490116584673902,0.0012975427764342386,0.00257848878527084
N3,0.00021055565683718563,0.03195458315270483,0.96398230620011,0.0020766709224174567,0.0017758840679304258
W,0.027269006095685968,0.1260906637821204,0.006939930153486677,0.09902590047595795,0.740674499492749
N2,0.23730575280257246,0.3596391622615254,0.15299798975065737,0.007832962460372307,0.2422241327248724
W,0.006634882757165612,0.026597718055758134,0.012316433885901411,0.13354166180110247,0.8209093035000724
W,0.0046650731459888,0.032038092365805224,0.05472071107837951,0.12030638051738571,0.7882697428924408
N2,0.025790301910567793,0.5409378438425827,0.12448111438852628,0.013301222339463957,0.2954895175188592
N2,0.03394029584582879,0.564056500304174,0.029611579742160467,0.013198414644370098,0.3591932094634668
N2,0.045287349491454035,0.7463838605551136,0.031696237556709236,0.012445823128727747,0.16418672926799546
N2,0.025322516208498402,0.842660372344099,0.057690628025217065,0.015872540331597306,0.05845394309058829
N2,0.008071689392350204,0.7944818627970751,0.14599393869266242,0.005886148969958551,0.04556636014795359
N2,0.014438310972453124,0.7505259779482228,0.1787681274306447,0.006848839165242422,0.049418744483436826
N2,0.0045365393606347365,0.6989064206631103,0.26057458946732975,0.008061367042213741,0.027921083466711617
N2,0.0162960098730868,0.8858315013742979,0.035862510855143234,0.024099075380144216,0.03791090251732788
N2,0.0056516950169566045,0.7144704156307209,0.22173932817660102,0.013476361568369066,0.04466219960735251
N2,0.010421263067967612,0.6916805103812323,0.2607907644250125,0.012565317118530766,0.024542145007256804
N2,0.004839120547581913,0.5810815712854669,0.36469749111796224,0.0028349622553893094,0.04654685479359986
N2,0.00608629424432647,0.640177663616824,0.2809323798956165,0.04731123196678299,0.025492430276450217
N2,0.004177930190006509,0.6353769235361523,0.31735675550843373,0.0044856299293501364,0.03860276083605724
N2,0.002448464102667583,0.5003039460481202,0.47988623300407207,0.0014827666767617655,0.01587859016837832
N3,0.002357567848453568,0.4069487858141501,0.5719663606800898,0.006839802234057216,0.011887483423249494
N3,0.0015017282243507094,0.24970806273647211,0.730810314609333,0.0069997493800269045,0.010980145049817258
N3,0.0014424003461465846,0.22907217872813682,0.7616620165847371,0.00036128631795549646,0.0074621180230240135
N3,0.00038376380380803713,0.12185226551343399,0.8690798990104757,0.00024932567830410256,0.008434745993978195
N3,0.0003800343781071461,0.12310819189288168,0.8658189385844846,0.0026809939215181795,0.008011841223008657
N3,0.0006419309778044432,0.15247342986371043,0.8295564716677947,0.008559590658635811,0.008768576832054498
N3,0.00045637927451815786,0.10610158929500811,0.8752734021493684,0.0121421010610466,0.00602652822005892
N3,0.001137070549433543,0.31689483882979275,0.6597302287298366,0.0021185136496377015,0.020119348241299462
N3,0.00043537874744073034,0.09021939218840291,0.8913572256027403,0.012297242564936448,0.005690760896479711
N3,0.0005759158142134812,0.1873084897004609,0.8049328749314807,0.0009783318130097295,0.006204387740834976
N3,0.001021478430401713,0.22340999417723856,0.7703674330269693,0.0009563555846484952,0.004244738780741889
N3,0.0003244176980822751,0.08382537011630734,0.913398139348027,0.0003763791626007779,0.0020756936749824336
N3,0.0021993760877865474,0.26956333983456443,0.7205776721393801,0.0022525450810067403,0.005407066857262145
N3,0.0013472664727029993,0.23808772577663442,0.71634022496007,0.035185052327988554,0.009039730462604013
N3,0.0005356440468542309,0.1038705394325203,0.8911920391819056,0.0008439399324249792,0.003557837406294714
N3,0.013683282251493413,0.25869162869670953,0.4175337420530175,0.06432449136951368,0.24576685562926587
N2,0.03922580726551521,0.40666849128330473,0.18740575169158044,0.2875268650552184,0.0791730847043811
N2,0.06142914754450483,0.42860285272019777,0.16312943310501046,0.2864874473347596,0.060351119295527424
N2,0.02915916916398282,0.47308203659427983,0.35291401702034947,0.023755613295138586,0.12108916392624929
N2,0.011990516542969737,0.4152895679261127,0.20314713201849677,0.2977551115277354,0.07181767198468532
N3,0.006011270804108761,0.22759634432170703,0.5298246334135712,0.16404442854345785,0.07252332291715512
N2,0.009747086739337284,0.47519466469765914,0.2316039705999983,0.23352762195418558,0.04992665600881961
N3,0.005409278693660838,0.38797488153951104,0.4057520348641514,0.1432740449878634,0.05758975991481335
N3,0.004367389563953359,0.40201299164437576,0.45397766127325917,0.1122353994162588,0.02740655810215288
N3,0.0025992583071694415,0.2691912103590467,0.6620103176423554,0.04950350267547437,0.016695711015954164
W,0.009249758838857496,0.09520936900500816,0.12964783677533365,0.055186170593024435,0.7107068647877763
W,0.013040011102349815,0.09611144608618487,0.10434216797609844,0.09376996597437266,0.6927364088609943
N2,0.02611393976912735,0.5486263116735559,0.2682308991282332,0.008067837303056566,0.148961012126027
N2,0.03639292038789653,0.4181125253016643,0.25414538396512104,0.016271212009298795,0.27507795833601933
N2,0.03893361707145904,0.44569522253103927,0.20258634760429245,0.15012407165504554,0.16266074113816362
N2,0.02852430001345184,0.3755904842331068,0.19195951600357816,0.1523925338768187,0.2515331658730444
W,0.013545143391365703,0.24364167738384732,0.19601246609189377,0.11245014963375763,0.4343505634991356
W,0.017020083052923164,0.10642566622184926,0.05690640040747027,0.09183640997130306,0.7278114403464543
W,0.04165459713404644,0.3454772131437934,0.21754069203910908,0.03869887905104444,0.3566286186320067
W,0.026548967340756287,0.0544102003719668,0.019489745098824052,0.0082295575131756,0.8913215296752772
W,0.06370713016171879,0.3976699277482866,0.10010723564640855,0.03527763233328253,0.4032380741103035
W,0.04087567176006261,0.19905092916909556,0.006318961627217532,0.013185778904810621,0.7405686585388136
W,0.01609436943747812,0.06844340183504986,0.001120233123156503,0.15354407969964004,0.7607979159046755
N2,0.17597161995832672,0.6520755496011128,0.007229418439316462,0.03465986538941408,0.13006354661182995
W,0.1366813764105832,0.2798907940979037,0.003576387007368102,0.04060890213443523,0.5392425403497098
W,0.08924092763861043,0.28401353887018727,0.014122842165973135,0.01672966329302342,0.5958930280322058
N2,0.10406655923165957,0.6584912977830921,0.00804942998528949,0.03889157816742651,0.19050113483253245
N2,0.0842684348661581,0.7477583668230868,0.018233063282300153,0.03439325127658185,0.11534688375187292
N2,0.04340661726644497,0.7345073027632711,0.00869158717203646,0.03479044605114738,0.1786040467470999
W,0.05416561947379455,0.34981055784534737,0.015420550010130079,0.0392619285294223,0.5413413441413057
