Stage,N1,N2,N3,R,W
W,0.019470822225853036,0.008738016453429854,5.715117894934711e-05,0.0016504991888254374,0.9700835109529423
W,0.008763257014748834,0.007287377786769789,1.869781959014904e-05,0.0005140874671959613,0.9834165799116954
W,0.01048695475551008,0.007092686452440288,1.9757926849534456e-05,0.0007081945501956042,0.9816924063150044
W,0.04451034872922315,0.010390970299402955,1.9754601930924424e-05,0.0030422200946945027,0.9420367062747486
W,0.005716844046656418,0.0226862700381198,0.0006576971245038324,0.005539869710444716,0.9653993190802753
W,0.0070585417354812425,0.0071435525977487195,0.0005036389046837193,0.002609671436892197,0.982684595325194
W,0.004631423504671752,0.009447723440433726,0.0006813880084698821,0.002949717347888488,0.9822897476985362
W,0.005664282969441533,0.006508771117525572,0.00023963496859452418,0.002350946031620548,0.9852363649128177
W,0.0208731543983973,0.01738461285426752,0.0026787749737803624,0.0044764787908390434,0.9545869789827157
R,0.017157272432059393,0.0702552064328453,0.013171851365220264,0.7594742640933686,0.13994140567650656
W,1.0989028528867737e-24,0.02396328377822563,0.016016846527433702,0.0038185267751800465,0.9562013429191606
W,0.23667616282253828,0.03146471431904236,7.629562404877914e-05,0.0020619557010396047,0.7297208715333309
W,0.05786358215543427,0.030928299127024852,0.0007900686256609661,0.00822712927684741,0.9021909208150326
W,0.005782637434221737,0.02050304985020429,0.004957655405335651,0.0025512366430517487,0.9662054206671865
W,0.019395598801106157,0.01347715097680631,0.0015462407098049689,0.006265359605095714,0.9593156499071869
W,0.021982730393156343,0.02040625376501394,0.002263959190347226,0.007561205281861972,0.9477858513696206
W,0.019968934513636342,0.043183041442391566,0.001934032499433813,0.01515390913398479,0.9197600824105535
W,0.020494474685424688,0.024296579912365515,0.0011877642659058097,0.016030781364308442,0.9379903997719956
W,0.010605158214045703,0.024920233170412892,0.001051154403385798,0.018508590740372755,0.9449148634717828
W,0.020519655489230654,0.016470113654916733,0.00019558812255189044,0.013549187496918835,0.949265455236382
W,0.016460804218229964,0.017768595044669596,0.0012897349186197086,0.03196686025047895,0.9325140055680017
W,0.04594078346648005,0.03317047991053451,0.0013014701953799185,0.028312527757475052,0.8912747386701304
W,0.12436332718559862,0.06300118605580897,0.003995227192993479,0.14916437717714548,0.6594758823884534
R,0.3233860399056051,0.09615219982802133,0.024898231001458562,0.37290393626416,0.1826595930007549
R,0.24763864697814297,0.18227254980704316,0.0035337762158975236,0.4338607397056063,0.13269428729331015
R,0.23627971008616175,0.13455807821017862,0.0017571209195010255,0.5936293269773426,0.03377576380681598
R,0.2920079984325202,0.03617222517277559,0.0027385739204600374,0.6156081705202014,0.05347303195404276
R,0.4006387114075226,0.10463917073597698,0.0026523075585556735,0.44341521057893724,0.048654599719007735
N1,0.37681856475859143,0.31390485147763353,0.006332605299789259,0.2417654143915253,0.061178564072460494
N1,0.3404314758637236,0.2637577552662858,0.00372526614917499,0.12042634709845448,0.2716591556223611
N1,0.6334120695586212,0.21202631332250882,0.0025747823709156587,0.12261162241251743,0.029375212335436843
N1,0.5215311465405994,0.3659727704346766,0.004954773777988176,0.07802491727946935,0.02951639196726648
N2,0.17071818600924726,0.7404483638655969,0.029964219114619793,0.030526893034801536,0.02834233797573453
N2,0.1561502506535156,0.7498870884537021,0.0620851701722585,0.01168130347448999,0.020196187246033854
N2,0.0522987064644186,0.8927897304622486,0.007508609657187521,0.03009216667843887,0.017310786737706363
N2,0.015487160977809349,0.9379921933296896,0.0038266196353663696,0.03213965561203502,0.010554370445099513
N2,0.05336424631204131,0.6138767339385011,0.013467978114075421,0.06033817789818769,0.2589528637371945
N2,0.00992726263717753,0.9595153433135414,0.013949333521636994,0.004927170742869682,0.011680889784774282
N2,0.05080370657056667,0.8826252707469259,0.029400022257365117,0.011825631184331128,0.025345369240811225
N2,0.02797798241660647,0.9302292643863902,0.02443595335385349,0.006190613764033576,0.01116618607911615
N2,0.07744892344346156,0.8688790134081334,0.011473512965358024,0.01635215791975148,0.025846392263295388
N2,0.0031350273049115676,0.9309003951173939,0.05589905913359781,0.002120180581563766,0.007945337862532941
N2,0.01417984684575865,0.7923268359149938,0.1770047853897958,0.004345759275910199,0.012142772573541658
