Stage,N1,N2,N3,R,W
W,0.0070647193730854745,0.00015976419986477153,4.623254123546329e-05,0.00010423883131924372,0.9926250450544951
W,0.033457029457433576,0.0641192464920416,0.00024506589405054463,0.007609585142234438,0.8945690730142398
R,0.011975892967347305,0.02487515864780042,0.004173377962187032,0.6351144925477058,0.32386107787495944
W,5.735662300857245e-55,1.3715097932050254e-06,4.508656288400129e-08,0.00013506662306644228,0.9998635167805775
R,1.5252016245541434e-50,0.030549258552483565,0.0024677362770740012,0.7924964733169937,0.1744865318534487
W,0.008816765771805558,0.11846739234928066,0.006430096750161037,0.04859976684053944,0.8176859782882132
W,0.07606335246918133,0.12116401880958212,0.004974290993203945,0.04461575838304554,0.7531825793449871
W,0.0196157671275791,0.10023869781831987,0.009037897055779523,0.1463320593047753,0.7247755786935463
W,0.091139160932324,0.09774590495760181,0.003689211637705032,0.003748704047507221,0.8036770184248619
W,0.0544439861710336,0.03103282920625164,0.003015464056948404,0.0012376721903503123,0.9102700483754159
W,0.04180648412284486,0.028573295532109383,0.0077636843075083685,0.0012502931102931038,0.9206062429272442
W,0.14354739570135613,0.07683530463325902,0.01887440541061307,0.003861799737789575,0.7568810945169822
W,0.015201108850237004,0.0747176391260385,0.012880335136096285,0.007468909066067309,0.8897320078215609
W,0.03004424780543649,0.08721122169921061,0.004547923128356915,0.10355613689519858,0.7746404704717974
W,0.009393128671827823,0.0362110395237376,0.0009677804287811107,0.018886586680718236,0.9345414646949353
W,0.02662490212348019,0.03431669267052904,0.0034559632291016576,0.028974653225221296,0.9066277887516677
W,0.03418321451548601,0.038924429534943836,0.0024732112946194524,0.02170256475787015,0.9027165798970805
W,0.016611481037150336,0.021031768236339468,0.0021728606411013265,0.015096944610792553,0.9450869454746162
W,0.01410261752752642,0.027364395004378504,0.007194273758947206,0.4186880038756957,0.5326507098334522
W,0.015065116235233182,0.11621846850696735,0.035892179719863034,0.36431320649239995,0.4685110290455365
W,0.013373206521361725,0.04232822775248224,0.02006447881795621,0.0023201257766214786,0.9219139611315784
W,0.034874861585183776,0.014861512019329691,0.0003471187657491753,0.004462369713475561,0.9454541379162619
W,0.07306556599471428,0.048693792569607486,0.0004951669475724489,0.009004753201432953,0.8687407212866729
W,0.1330408278395636,0.16201557621637025,0.005783561905537895,0.0034514679221365114,0.6957085661163918
W,0.1902479442396076,0.29176074951672976,0.004458147781503816,0.021122905425620644,0.49241025303653807
N2,0.2244454210072827,0.590343470410895,0.021182905941594613,0.101385069623635,0.06264313301659256
N2,0.06010496584957584,0.3756037190954531,0.11047251929937078,0.13179165430598183,0.32202714144961847
N2,0.1150026166478732,0.5234528473148395,0.02705170023636275,0.023748904275965526,0.310743931524959
N2,0.3926091612949744,0.4463916967875346,0.024797709125791857,0.07020608747154782,0.06599534532015125
N2,0.18480151148015997,0.6071096660621205,0.07177534571304874,0.07756021731782864,0.05875325942684214
N2,0.05527623597948257,0.6472918934694102,0.12098071971055947,0.05656158847987764,0.11988956236067001
N2,0.040020960073132245,0.7509571693875764,0.12071076234724577,0.06026702972996615,0.02804407846207948
N2,0.06570908995438293,0.5852272893702916,0.06876428035863572,0.21394058820344478,0.06635875211324507
N2,0.048329910445918875,0.8154257899874121,0.03198775750175135,0.08679951918305702,0.017457022881860695
N2,0.03821727066004158,0.5104457901460046,0.1509337522734395,0.07993459129188771,0.22046859562862664
W,0.01683766246510919,0.11372965260202467,0.2576703473966339,0.022746553543021606,0.5890157839932108
N3,0.010129533085728303,0.21634501185019847,0.5452528647764797,0.03612225875177547,0.1921503315358181
N3,0.00814879073131099,0.06694077322449492,0.8261129022566648,0.011908709734317893,0.08688882405321158
W,0.019722929778918766,0.1787139500941163,0.16327128137170402,0.0601641052659192,0.5781277334893417
R,0.017606138819917738,0.10859893515762122,0.12700448707425074,0.4909489433714558,0.2558414955767545
N1,0.4613684248809356,0.10372346516042925,0.009976026290220241,0.018177259055727202,0.4067548246126877
N1,0.48761218533936007,0.1978655449881451,0.026542855958796532,0.04459239973301638,0.24338701398068205
N2,0.12272629295373252,0.7745391519635312,0.056733797945700055,0.017858223250957844,0.028142533886078323
N2,0.09130333204822808,0.8393053497911441,0.012651689604774904,0.020910114182176125,0.03582951437367673
N2,0.06565552870835542,0.8471709360963284,0.031950795927951706,0.018186243945716395,0.0370364953216478
N2,0.015295723259265568,0.9520090001253815,0.012940644906120676,0.0060823700139117105,0.01367226169532066
N2,0.09301817370977869,0.8340150711907789,0.027615753983794497,0.02265763352328625,0.022693367592361565
N2,0.23879128680324643,0.5760830436121855,0.025724181279644678,0.12403379514960863,0.03536769315531454
N2,0.13927755966892352,0.733311235144521,0.05768702630176007,0.053542264781621454,0.01618191410317393
N2,0.17063583238947758,0.7377365270745482,0.01916147049015285,0.04728691016825918,0.025179259877562025
N2,0.10365905746226672,0.807685169092169,0.03195165218145697,0.03080560789054649,0.02589851337356077
N2,0.10365012747823524,0.7638353959701679,0.05604707906933791,0.031373689159501665,0.04509370832275729
N2,0.05149245830366804,0.8354432209928981,0.0511331147638333,0.020277847102131485,0.04165335883746888
N2,0.023048427059517856,0.828892326206221,0.09469630497122848,0.029379910886145312,0.023983030876887537
N2,0.035928850409357116,0.8324996451690901,0.06067583236559261,0.039426664899423536,0.03146900715653666
N2,0.038781479468689636,0.8642793976674092,0.05358387224241951,0.01207550680448517,0.031279743816996386
N2,0.022772796330808694,0.5225095089765609,0.42009436118766363,0.01848473106119369,0.016138602443773156
N2,0.03711603568770861,0.8419394560986366,0.07369002352050909,0.027157451484222127,0.0200970332089234
N2,0.019624883537443245,0.8283464229689274,0.11881563862466282,0.016713940307603297,0.016499114561363236
N2,0.040810612517699955,0.8152980081371083,0.11076998758582138,0.018748078467925443,0.014373313291445087
N2,0.06298444826319244,0.6191465439767774,0.2607654012575109,0.03214834919824216,0.024955257304277136
N2,0.03534404989920484,0.6805571032077538,0.20113918944815556,0.06120650930590539,0.021753148138980594
N2,0.021719487891355863,0.612015685827331,0.2706259329914152,0.07108735015247283,0.024551543137425066
N2,0.004333462744162589,0.6737805384870995,0.24976063225178707,0.05759530826824379,0.014530058248706961
N3,0.0017600283100016676,0.43393928962230927,0.5417827001497,0.015139085131570256,0.007378896786418939
N2,0.0037526270556313946,0.6976712345726085,0.2658584563307677,0.013659236965868087,0.019058445075124344
N2,0.008095489518983152,0.6793408437777553,0.26637100023283283,0.012213969481651384,0.033978696988777334
N2,0.005042308132455043,0.5851546062364277,0.39132898191958554,0.007021839546700823,0.011452264164830953
N2,0.013407047389619498,0.8110447863141671,0.13703276410784762,0.01931509291909671,0.01920030926926914
N2,0.008971204291575266,0.8135855065897141,0.13343944389107623,0.02329141779844438,0.020712427429189866
N2,0.006405166140823354,0.7247075963444667,0.23221134778700064,0.024786269191762484,0.011889620535946773
N2,0.004119250567978271,0.7542092419277364,0.212678226563871,0.015137114656078343,0.013856166284336089
N2,0.004510295135787357,0.6728000348135821,0.2899485961586579,0.020619848811078714,0.012121225080893892
N2,0.01167915979815261,0.8158967834574922,0.10628569683246732,0.04454159311469888,0.02159676679718912
N3,0.0019020456510121756,0.3753669504793693,0.6043734537381588,0.01065380498595398,0.007703745145505824
N2,0.005447585899270019,0.7530004272989836,0.22037924027033193,0.009551887231783317,0.011620859299630923
N3,0.0028667596025494222,0.40965961052309047,0.5723624657062929,0.006551718844218997,0.008559445323848303
N2,0.005446821809246603,0.6462802995543313,0.3279867897086687,0.006768287565676504,0.01351780136207702
W,0.014288515212217566,0.21495497825912685,0.3189037220276972,0.07226401981040118,0.37958876469055725
W,0.0192669746298795,0.22719546872909308,0.03524397921019393,0.13467996779192015,0.5836136096389133
W,0.1272324760522174,0.3601072416405681,0.005701221241359257,0.017591400694653567,0.48936766037120166
N2,0.2007800622098666,0.4029754113468444,0.005061452205618816,0.06801541131910614,0.3231676629185641
N2,0.1949500787334079,0.506049951695245,0.025844987910526456,0.15683735399718007,0.11631762766364055
N2,0.1495336052477278,0.6820781234517571,0.0021775137769741676,0.09639386045945676,0.06981689706408406
N2,0.02033643980582133,0.8833484684536882,0.003417694646632246,0.03145260818002888,0.061444788913829484
N2,0.017911478468777782,0.8402533349405215,0.07206950523945839,0.026655073138976876,0.04311060821226541
N2,0.01733697007643853,0.8586469246436926,0.08632853666390199,0.012714526781659876,0.02497304183430695
N3,0.00688646485615408,0.46219729111028635,0.4819509489818456,0.010434130716096834,0.03853116433561698
N2,0.015647817751866307,0.8883833135210476,0.05425607219659966,0.014004321255148226,0.02770847527533796
N2,0.03208076578535255,0.8968045403395507,0.03430193749147123,0.013224491296368419,0.023588265087257185
N2,0.019297727992401533,0.8617291357506431,0.08401367678421272,0.004857121589757853,0.030102337882984706
N2,0.015491000565786332,0.8989521592720714,0.04833307946576346,0.003617173197964117,0.03360658749841462
N2,0.010877543387771782,0.7722633441734279,0.14512315693562255,0.004362243657281368,0.06737371184589655
N2,0.014503178263952449,0.7511229613295645,0.20415655116421114,0.006759043680560628,0.023458265561711267
N2,0.030698701903893465,0.880741407075835,0.03508896979424496,0.012506828889682289,0.0409640923363443
N2,0.013505236695571883,0.580347104671624,0.3205156783752863,0.039634613842192044,0.04599736641532583
N3,0.0033114957858118477,0.372245816066562,0.609430407518297,0.0015276465374337764,0.013484634091895369
N2,0.013933450026149203,0.8029980736348783,0.15978199998974332,0.0027364407669879594,0.020550035582241062
N2,0.005948910308279465,0.5265805823800503,0.4558566920190366,0.0019531362502619126,0.009660679042371624
N3,0.0028708309380815504,0.31319910541724033,0.6791991281448034,0.0007254337162282261,0.004005501783646391
N3,0.005905045867449698,0.30685110376130204,0.6809823427119115,0.0012897456741712864,0.004971761985165507
N3,0.007035135511359057,0.4002975510508962,0.5790187974270125,0.0036591713963715607,0.009989344614360603
N3,0.0037234636172195504,0.35597445487465745,0.6327819703049742,0.0027167214049443316,0.004803389798204564
N3,0.0028245481092266283,0.28797597086717747,0.7015603393942496,0.00374236775188497,0.003896773877461356
N3,0.005773279333663726,0.4794265023020306,0.5009285938872102,0.005157277094661272,0.008714347382434227
N2,0.010023117264427022,0.6122328744319108,0.3590413355191875,0.006806474047537455,0.011896198736937282
N2,0.011377088779452477,0.6958118625895648,0.2670358947419898,0.006722559428890047,0.019052594460102837
N2,0.008746529781007907,0.5313870331778756,0.4352902419863484,0.0054621132597196965,0.019114081795048452
N3,0.006441952093568624,0.4014400128376061,0.5775615270568267,0.004535474503561932,0.01002103350843654
N3,0.008339551799949158,0.4695385897728797,0.5001925385515471,0.006379322364065411,0.015549997511558628
N2,0.008649968345323687,0.637770525446284,0.33386536732696903,0.007848351800314578,0.011865787081108676
N3,0.006181674959651763,0.46370341437370033,0.5140754966903576,0.006083731971795799,0.00995568200449445
N3,0.004481783624155963,0.3296987402710392,0.6564445293965635,0.004284118889303683,0.005090827818937681
N3,0.003780214701939059,0.3382247888828523,0.6486434238949552,0.003015079574422129,0.006336492945831525
N3,0.005725306699486065,0.3312054001031692,0.6543995314454264,0.0031193615955378475,0.005550400156380491
N3,0.0027800324041350904,0.32032920209860277,0.6697256307132464,0.0018990996917272146,0.005266035092288393
N3,0.0021499728883036203,0.2638545775211237,0.7249479328309729,0.004134710281381608,0.004912806478218235
