Stage,N1,N2,N3,R,W
W,0.0036417030185322877,0.0012144866812362886,6.7398847153532e-05,0.005034788962777942,0.9900416224902999
W,0.009964961802853427,0.006151631475095082,0.0018317869841384523,0.47194642052837693,0.5101051992095361
W,0.10411245631548367,0.026299834928743916,0.008129908841524919,0.015743225495184112,0.8457145744190634
W,0.27670514208832464,0.005374700703743269,0.035698645346986795,0.016275403372348667,0.6659461084885966
W,7.20105938020744e-07,2.9773290265452385e-07,2.6011850121156955e-07,2.4484182787915035e-08,0.9999986975584753
W,3.4845840167600346e-08,1.0814658183363938e-07,5.567248665748378e-07,2.2482719088343104e-08,0.9999992777999924
W,2.2006052470396897e-07,3.2845244529418294e-07,3.352866442662357e-07,3.161832053758853e-07,0.9999988000171804
W,5.2913379036195125e-65,1.5468290570567116e-10,1.2840065699475405e-10,1.3719863542369157e-10,0.9999999995797177
W,0.04187513350372215,0.09679964374011744,0.012040289121688051,0.007857799293246856,0.8414271343412254
W,0.02267763266923805,0.09644243523467472,0.27706473273987064,0.0011979937716015167,0.6026172055846151
W,0.008871581612640261,0.024304198722921257,0.001432367231083623,0.0005756266723381643,0.9648162257610166
W,0.009841193831051358,0.18438341922012777,0.007209383205975564,0.011269769274063415,0.7872962344687819
W,0.013990739504511698,0.17520367451040433,0.02328223589183512,0.010149370162485457,0.7773739799307635
W,0.025412639449900732,0.10375308133172137,0.00427100642476905,0.03235961475846985,0.834203658035139
W,0.032183030314533574,0.2038895836456053,0.005095844332176369,0.0530267452355134,0.7058047964721713
W,0.02151749737849873,0.030788284037051646,0.001769592965668675,0.007869377336211313,0.9380552482825697
W,0.008876214968702754,0.37413812836163934,0.1941395524010774,0.008880381447368971,0.4139657228212114
W,0.04867288355147845,0.2298553405162063,0.03633020436073421,0.006353045738055062,0.678788525833526
W,0.0615851697760837,0.24124285835270337,0.07040469589330862,0.014913337908539043,0.6118539380693652
N2,0.06285519088587734,0.5731034937059881,0.03526322731473297,0.008744112213829024,0.32003397587957255
W,0.03358017576359677,0.07873116648444495,0.013329723090767619,0.008701732676384804,0.8656572019848059
W,0.029925764481329723,0.0801616715641195,0.004109157740100818,0.03150420879700474,0.8542991974174451
W,0.07327425042195111,0.1336277473260797,0.006510525087184554,0.0782092472714919,0.7083782298932928
W,0.16426967814497237,0.2314286083293867,0.006693310745461469,0.09356995330573492,0.5040384494744445
R,0.10883299293886381,0.09953396537379104,0.00725082961235168,0.5926964947331214,0.19168571734187204
R,0.12862744327739295,0.14296730066247232,0.026536784614480266,0.5909323060856438,0.1109361653600106
R,0.10843245209192841,0.06438256532169583,0.013336120603274559,0.7367038656981151,0.07714499628498611
N1,0.4874458136556789,0.2101081777349325,0.006647672022360549,0.17151014771860712,0.12428818886842102
N1,0.524161463011835,0.09389220925288894,0.0027407415761743982,0.2203551600511492,0.1588504261079525
R,0.3008611924280552,0.1156674781819411,0.005503484069522176,0.5058363976814015,0.07213144763907998
R,0.20367346746833273,0.2585856901360831,0.013206545888729557,0.5102374474009019,0.014296849105952619
R,0.15297445903637868,0.20937721705722737,0.021468558472544214,0.6033095539376235,0.01287021149622627
