Stage,N1,N2,N3,R,W
W,0.04297731899062853,0.035808621424016085,0.0002692931046438356,0.013526291207237579,0.907418475273474
W,0.038833490720242864,0.0036562752254320837,3.586911893111406e-05,0.0009986253149942058,0.9564757396203998
W,0.13947474926627554,0.047780937924766,0.00015015713669837703,0.032480165015149,0.780113990657111
W,0.004557417376020277,0.021699955972436742,0.00025924045685446397,0.010377502944296535,0.963105883250392
W,0.012336584255856802,0.02041351695177821,0.0003801395431358266,0.0016976291473700456,0.9651721301018591
W,0.06848284310103138,0.06317850689675572,0.001486237439461803,0.011746341139442626,0.8551060714233085
W,0.026605592131981253,0.05482671962884392,0.0012921849275279512,0.005877979386930837,0.911397523924716
W,0.1963716012905217,0.06532920567298939,0.01958447053033863,0.06701770433794815,0.651697018168202
W,2.880882757644257e-09,0.03586036610095364,0.03233577325748792,0.16445234903109934,0.7673515087295765
W,0.22556499992702203,0.03109733552386506,0.00121984542881096,0.005600062187584434,0.7365177569327175
W,0.158962555409322,0.34354694556923815,0.017111908832833065,0.0061600376263184296,0.4742185525622885
W,0.013276384107801619,0.1448299638060639,0.20679260409868647,0.0012215178048070202,0.633879530182641
N3,0.010940854316256311,0.16080498149978306,0.45806201328991186,0.002233335148134661,0.3679588157459141
W,0.045914896279902674,0.08592242334504835,0.016796724078118976,0.039473931470670263,0.8118920248262598
W,0.07759082650739312,0.12730707763043414,0.0032009497523930405,0.04499436318030452,0.7469067829294752
W,0.04995776643498241,0.16321107995510167,0.005673134758560768,0.011542626273338309,0.7696153925780168
W,0.040285054611741776,0.08070743045730693,0.0012314022339988157,0.09437552543559932,0.7834005872613531
W,0.04947053203540658,0.07810382375221515,0.0006206706438989917,0.04021151770786199,0.8315934558606173
W,0.03183020280959508,0.06232667639118848,0.0009233163688561109,0.010670855954467175,0.8942489484758932
W,0.08074109907680581,0.05220955947480408,0.001581497556008039,0.02557948118610753,0.8398883627062744
W,0.11488268496670191,0.08716066673789961,0.004570071517911178,0.03385473170494325,0.759531845072544
W,0.07685686738684308,0.04446272302044846,0.0009124018552365342,0.10090102829706515,0.7768669794404067
W,0.07491441225582395,0.015222904973895245,0.0007062254410765908,0.1714624598112396,0.7376939975179647
W,0.09075386648374145,0.0838276308815684,0.0027195950289405474,0.13556874660849,0.6871301609972595
W,0.18071338905639234,0.0935345172401312,0.0016269967111703263,0.13373322005441343,0.5903918769378927
W,0.18141901388686132,0.09599627133314947,0.005836417964051751,0.21550959394400995,0.5012387028719275
W,0.13120703805049325,0.08514323647958466,0.007708722332745337,0.15638553265224142,0.6195554704849353
R,0.2386332234945991,0.1371543202965125,0.011579134559182008,0.3519208274165824,0.26071249423312415
W,0.10808679291464167,0.16961792898710382,0.010096682700587358,0.23857300791985483,0.47362558747781225
W,0.09106975538135106,0.329245410015421,0.013257630319872744,0.233001497417879,0.3334257068654762
N2,0.06699476924089971,0.8456716170685995,0.013346924270774019,0.03357292800955269,0.040413761410173984
N2,0.137407354201353,0.7308955907845572,0.018065731473720613,0.02869644535264347,0.08493487818772562
N2,0.1357196209550173,0.5824270812430601,0.016320597240560654,0.08205177283566709,0.1834809277256949
N2,0.03035217489695723,0.5319339255150783,0.37473136349441444,0.005481638688382724,0.05750089740516734
N2,0.03153176923445101,0.7666253648228465,0.15951806274974256,0.005639639455657237,0.03668516373730287
N2,0.02874103053219765,0.8686351789007111,0.08698161585902235,0.0047713339691566724,0.010870840738912221
N1,0.5138520019466234,0.2796572750837729,0.00434445288047706,0.04154379132218246,0.16060247876694422
N2,0.21456581087784576,0.6339785602472119,0.014448257773425961,0.048196015293220686,0.08881135580829565
W,5.1381179454273085e-05,0.00015567672204944494,4.395251395858164e-06,1.1630926149133629e-05,0.9997769159209513
W,5.6532360312016666e-05,0.0004436114801140755,1.8089197722863184e-05,1.4978007243124592e-05,0.999466788954608
N2,0.012961865127085196,0.7734173673583169,0.16284149281074606,0.0153965971353822,0.03538267756846983
N3,0.022611796231945876,0.42414808246407976,0.5072425979970853,0.009480354007150592,0.036517169299738465
N2,0.05373530627164161,0.6805056547841939,0.24285433000069812,0.007083597331698089,0.015821111611768378
N2,0.08016118068697234,0.7124666649329149,0.15819907344058542,0.02833867995876315,0.02083440098076411
N2,0.054392367408634026,0.7561901620510946,0.1463357878953493,0.027789334528552055,0.015292348116369989
N2,0.04548638211874862,0.9064176523951277,0.032504670100736446,0.006093670325086124,0.009497625060301005
N2,0.023396221599337273,0.7879772790396024,0.028553234522762667,0.004107652149367283,0.15596561268893044
N2,0.015143000711126698,0.8259799861141008,0.12901563014391657,0.011253996527307322,0.018607386503548786
N2,0.056724124340651653,0.5622688035392083,0.018915542665327637,0.020974155119248456,0.341117374335564
W,0.037461280982958305,0.17671914663735636,0.09528426149318997,0.048256849234459144,0.6422784616520363
N3,0.015008821350002787,0.10384075516937592,0.4420316454236598,0.02391507108270313,0.41520370697425835
W,0.2096729580686105,0.06163816727878994,0.21069059091444017,0.019524198351876614,0.49847408538628274
N2,0.060026767192246595,0.3234987515099529,0.2242251405751942,0.08109420110239117,0.311155139620215
N2,0.07722530410451042,0.51636357258025,0.1582388136841732,0.0833702015152953,0.16480210811577095
N2,0.13720425156522384,0.638197814038066,0.048370444423231934,0.0321802589660769,0.14404723100740147
N2,0.030796069435209086,0.8439881595638624,0.05981794173487722,0.01803825826248283,0.04735957100356854
N2,0.02565460375366215,0.8527621400080551,0.0875599763064233,0.010448406390206286,0.02357487354165325
N2,0.04459655957461813,0.8496217036204561,0.08648091814951724,0.00488889203148332,0.0144119266239254
N2,0.025473217369817374,0.8159765191611204,0.10871461896425523,0.021013362223393183,0.028822282281413827
N2,0.009651204760796606,0.7321849948955962,0.20229466151318687,0.004656978036433827,0.051212160793986515
N2,0.023185906426352026,0.7840340631985834,0.16254591253344883,0.007079217712597617,0.02315490012901822
N2,0.013134274787076974,0.521298019555911,0.39955152959260937,0.04992309848408954,0.01609307758031301
N2,0.02380502226433774,0.7673863063594365,0.15909125287714418,0.009629122910415608,0.04008829558866597
N2,0.017986821894887692,0.762209835185589,0.18993551027139566,0.01260321116335232,0.01726462148477533
N2,0.03064559954271816,0.7134895746979232,0.06470302797954182,0.16874686504558606,0.022414932734230963
N2,0.009570343613071882,0.7915127133128312,0.14090004377674406,0.03205522295297657,0.025961676344376277
N2,0.01099361750385942,0.8494604017749413,0.08987148836530018,0.022133957883620377,0.027540534472278614
N2,0.007830843514281174,0.7608283521778039,0.1652664700345263,0.01459286743600538,0.05148146683738338
N2,0.004506646990491141,0.6762555755186759,0.17907009461848292,0.016576505531695616,0.12359117734065427
N2,0.008144952357532272,0.6953531396953119,0.04201874996008234,0.2173902385419316,0.03709291944514204
N2,0.00459904694295014,0.6810519833242693,0.08254957988100708,0.18372427169382677,0.048075118157946795
N2,0.0062681071662937455,0.8254643780150983,0.1062596776761878,0.011508069708919884,0.050499767433500216
N2,0.012800793002304786,0.8838290653102335,0.049670148226389675,0.032551129405718776,0.021148864055353187
N3,0.0046851981233680265,0.3366719738371628,0.43091636254686555,0.12400316513948705,0.10372330035311657
N2,0.01179844344546772,0.8923447117384012,0.05995902597628423,0.017498100211816445,0.0183997186280302
N2,0.05312884896255753,0.47337120381854064,0.10413995668235303,0.16453263209604213,0.20482735844050684
N2,0.05241135532932039,0.5574853894180791,0.1436179656268705,0.14145471420312614,0.10503057542260374
N2,0.11759248638043807,0.49104995513935185,0.010195712843398404,0.034302130514613484,0.3468597151221982
W,0.21415455286489088,0.31161962804775967,0.009606129686594703,0.004224236342964625,0.46039545305779017
W,0.012694950515744036,0.06668504378905012,0.16768769880680168,0.07057128615946542,0.6823610207289387
W,0.0400161672153951,0.25989694536510777,0.11188246114174723,0.10858722401664422,0.4796172022611057
W,0.04459642066672822,0.18299462930111754,0.03370411960565605,0.019178940259567078,0.7195258901669311
W,0.017058198078472014,0.055538941742512005,0.03434176142151495,0.14550673309044101,0.74755436566706
W,0.00912416368926945,0.06392162034307314,0.21915814193530397,0.09499376795042459,0.6128023060819288
W,0.12750096064179925,0.07521425241771476,0.0018543848309293639,0.0087772828669927,0.786653119242564
W,0.29943595455911076,0.07611766440057088,0.0007227706489599073,0.014353077644637368,0.6093705327467211
W,0.250124214983802,0.11242550124775177,0.0016908216834787763,0.025238231101010145,0.6105212309839573
N1,0.6017747380056612,0.17098387160807735,0.0006464481016323018,0.07464611537655826,0.15194882690807093
N1,0.5313509996538843,0.2664860699006058,0.002420122491908344,0.0805508811143607,0.11919192683924074
N2,0.3514395946907599,0.4306468623274899,0.0052144391144489325,0.16038147892289192,0.05231762494440934
N2,0.13136351652916692,0.43980562828381126,0.01017873258784193,0.26547046866495594,0.15318165393422398
