Stage,N1,N2,N3,R,W
W,0.01470588625330662,0.003460788846415689,0.00016865503380850068,0.00779788715148083,0.9738667827149883
W,0.009774336581531578,0.013185478677673503,0.0016114630307354093,0.48660899198616525,0.4888197297238942
W,0.2592312633750763,0.004432388367860696,0.0031324443740691973,0.1758306526492831,0.5573732512337107
W,0.1887170888806706,0.003433254502449214,0.007108786298366011,0.007232278766959591,0.7935085915515546
W,0.022753659265592207,0.005351656964261048,0.0035041153038662207,0.000503155281640914,0.9678874131846397
W,0.15624986763542809,0.07301744833119699,0.0020351886391263194,0.002932993938784936,0.7657645014554636
W,0.0811454752584554,0.030987757914410503,0.008697949699187003,0.0021284565639046057,0.8770403605640424
W,0.015538470227597011,0.015625039756372368,0.03571713963421122,0.04159866347040801,0.8915206869114114
W,0.03344253055341995,0.09739264797062844,0.005721622378271177,0.002699598199838158,0.8607436008978422
W,0.014087116483989847,0.06299585558796875,0.01767051943925048,0.0045191784287254245,0.9007273300600656
W,0.007436595904584002,0.03681742893632927,0.36518851939040603,0.0034169958041456827,0.5871404599645351
W,0.020732854593551973,0.04671065563484037,0.03391331452398649,0.36994399957857654,0.5286991756690446
W,0.009039573892268888,0.05930156617444365,0.05749778881194316,0.01569510046139975,0.8584659706599445
W,0.1474721069379531,0.16098438854282449,0.13675130949882125,0.030535787379394885,0.5242564076410062
N1,0.5204792846296584,0.21485241989398815,0.06455408421077694,0.04000615649159348,0.16010805477398293
W,0.013147798692755699,0.2457152192777773,0.04541380877715469,0.00585897894256726,0.689864194309745
W,0.03431528669493103,0.12160963829306705,0.004807155724441375,0.01345437214773789,0.8258135471398227
W,0.20953307187172204,0.03838950855825884,0.2559810496842408,0.16289003909692343,0.3332063307888548
W,0.008282082320396884,0.1850636368099413,0.010213696151134311,0.008682946942396866,0.7877576377761305
W,0.017732292601774054,0.19848696729759494,0.010783465656227979,0.016362837986422272,0.7566344364579808
W,0.026456251110119493,0.053425672457965305,0.028937602035438034,0.008110518475747976,0.8830699559207291
W,0.10156288832780798,0.15017475852086584,0.0038052132865734464,0.018588062223750475,0.7258690776410022
W,0.07573055120241608,0.12029311528253518,0.005038348962088007,0.010089738845155556,0.7888482457078052
W,0.08899831402359859,0.13467902456122666,0.00853861616258037,0.013735751055290714,0.7540482941973037
W,0.22492985888423106,0.26601372638910076,0.0021277856085255378,0.0515989988219528,0.4553296302961898
W,0.08678421217859551,0.019926144360704175,0.009222884293261898,0.11308575865713086,0.7709810005103076
N1,0.6512770248444315,0.07526210179359541,0.03553277917727118,0.02731852122187145,0.2106095729628305
N1,0.588082323538438,0.1615951997605035,0.07266498806121391,0.017288210916494233,0.1603692777233504
W,0.06298455188621409,0.09796747972094216,0.10396241035065605,0.036606784526630715,0.698478773515557
W,0.037179420922025246,0.16269264208640213,0.16855349352676313,0.3020720864421865,0.329502357022623
